星官,Bayer 編號,DEJ2000 (度),Flamsteed,HIP,RAJ2000 (度),Star 1,Star 2,Vmag (視星等),序號,星點,英文星名
參宿,ε Ori,-1.20192,46 Ori,26311,84.053389,"46,ε Ori獵戶","46,ε Ori",1.69,2507,參宿二,Alnilam
靈台,c Leo,6.101449,59 Leo,53824,165.186677,"59,c Leo獅子","59,c Leo",4.98,500,靈台二,
人,,22.94888,12 Peg,107472,326.518185,12 Peg飛馬,12 Peg,5.29,1564,人三,
天相,δ Sex,-2.739078,29 Sex,51362,157.369593,"29,δ Sex六分儀","29,δ Sex",5.190000057,2937,天相增六,
奎宿,σ Psc,31.804263,69 Psc,4889,15.704572,"69,σ Psc雙魚","69,σ Psc",5.5,1910,奎宿增十五,
天津,σ Cyg,39.394681,67 Cyg,105102,319.35397,"67,σ Cyg天鵝","67,σ Cyg",4.21999979,1410,天津增廿八,
參宿,,-10.724988,6 Mon,29885,94.396351,6 Mon麒麟,6 Mon,6.760000229,2541,參宿增廿九,
右旗,e Aql,-2.788887,36 Aql,95937,292.665989,"36,e Aql天鷹","36,e Aql",5.03000021,1250,右旗增七,
北極,β UMi,74.155505,7 UMi,72607,222.67636,"7,β UMi小熊","7,β UMi",2.07,2,二 帝,Kocab
天市左垣,,-13.198738,,83126,254.820264,,,8.93999958,709,宋增一,
奎宿,φ Psc,24.583713,85 Psc,5742,18.43728,"85,φ Psc雙魚","85,φ Psc",4.67,1893,奎宿十四,
天津,,38.486705,22 Cyg,98068,298.965676,22 Cyg天鵝,22 Cyg,4.949999809,1385,天津增三,
角宿,,-10.370382,56 Vir,64625,198.687976,56 Vir室女,56 Vir,6.949999809,796,角宿增十二,
河鼓,υ Aql,7.613158,49 Aql,97229,296.416448,"49,υ Aql天鷹","49,υ Aql",5.889999866,1234,河鼓增九,
海石,i Car,-62.316977,,45101,137.819667,i Car船底,i Car,3.960000038,3224,海石增三,
天錢,ι PsA,-33.025782,9 PsA,107380,326.236708,"9,ι PsA南魚","9,ι PsA",4.35,1555,天錢三,
右旗,,-10.560444,37 Aql,96327,293.780239,37 Aql天鷹,37 Aql,5.119999886,1253,右旗增十,
少微,,26.325577,40 LMi,52422,160.757841,40 LMi小獅,40 LMi,5.510000229,478,少微增二,
天苑,η Eri,-8.898144,3 Eri,13701,44.106874,"3,η Eri波江","3,η Eri",3.89,2258,天苑六,Azha
軒轅,,2.454131,7 Sex,48414,148.05068,7 Sex六分儀,7 Sex,6.019999981,3007,軒轅增四七,
北斗,ε UMa,55.959821,77 UMa,62956,193.507289,"77,ε UMa大熊","77,ε UMa",1.76,154,五 玉衡,Alioth
天廩,s Tau,11.336442,4 Tau,16322,52.601954,"4,s Tau金牛","4,s Tau",5.139999866,2157,天廩增三,
廁,θ Lep,-14.935254,18 Lep,28910,91.538849,"18,θ Lep天兔","18,θ Lep",4.670000076,2580,廁增五,
十二國,ι Cap,-16.834542,32 Cap,105515,320.561651,"32,ι Cap摩羯","32,ι Cap",4.28,1449,代一,
水位,,19.88397,85 Gem,38722,118.91623,85 Gem雙子,85 Gem,5.380000114,2669,水位增五,
御女,,73.321174,,97391,296.915448,,,8.739999771,46,御女增一,
屠肆,,22.218879,98 Her,88657,271.507918,98 Her武仙,98 Her,4.96,605,屠肆二,
九州殊口,,-1.54966,35 Eri,18788,60.383542,35 Eri波江,35 Eri,5.28000021,2406,九州殊口增一,
天狼,θ CMa,-12.038628,14 CMa,33160,103.547491,"14,θ CMa大犬","14,θ CMa",4.079999924,2728,天狼增二,
雲雨,λ Psc,1.780041,18 Psc,116928,355.511692,"18,λ Psc雙魚","18,λ Psc",4.49,1869,雲雨四,
參宿,,6.454156,52 Ori,27386,87.000976,52 Ori獵戶,52 Ori,5.260000229,2529,參宿增十七,
胃宿,c Ari,27.260507,41 Ari,13209,42.495968,"41,c Ari白羊","41,c Ari",3.61,2094,胃宿三,
大陵,,38.337488,20 Per,13490,43.427557,20 Per英仙,20 Per,5.340000153,2122,大陵增十五,
建,υ Sgr,-15.955018,46 Sgr,95176,290.431763,"46,υ Sgr人馬","46,υ Sgr",4.52,1147,建六,
大陵,ρ Per,38.840274,25 Per,14354,46.294139,"25,ρ Per英仙","25,ρ Per",3.32,2105,大陵六,
參宿,,-3.074254,,28413,90.013956,,,4.53000021,2535,參宿增廿三,
狗,,-21.776693,50 Sgr,95564,291.579818,50 Sgr人馬,50 Sgr,5.570000172,1167,狗增三,
天囷,,-2.393637,66 Cet,10305,33.198091,66 Cet鯨魚,66 Cet,5.65,2170,天囷十三,
司怪,χ1 Ori,20.276175,54 Ori,27913,88.59576,"54,χ1 Ori獵戶","54,χ1 Ori",4.39,2479,司怪四,
宦者,,12.740828,60 Her,83613,256.344544,60 Her武仙,60 Her,4.89,533,宦者三,
北河,σ Gem,28.88351,75 Gem,37629,115.828027,"75,σ Gem雙子","75,σ Gem",4.230000019,2655,北河增四,
五諸侯,,16.809271,3 Com,59352,182.631786,3 Com后髮,3 Com,6.400000095,368,五諸侯增七,
天高,i Tau,18.839861,97 Tau,22565,72.843593,"97,i Tau金牛","97,i Tau",5.08,2325,天高二,
長垣,,3.58311,34 Sex六,52401,160.656179,34 Sex六分儀,34 Sex六,6.570000172,495,長垣增六,
畢宿,δ3 Tau,17.92791,68 Tau,20648,66.372432,"68,δ3 Tau金牛","68,δ3 Tau",4.3,2288,畢宿二,
天棓,ν1 Dra,55.184243,24 Dra,85819,263.044041,"24,ν1 Dra天龍","24,ν1 Dra",4.889999866,335,天棓增一,
亢宿,,-8.891617,94 Vir,68888,211.57405,94 Vir室女,94 Vir,6.539999962,878,亢宿增一,
壁宿,,14.315514,43 Psc,1948,6.158979,43 Psc雙魚,43 Psc,6.480000019,1824,壁宿增十三,
天市左垣,d Ser,0.196108,59 Ser,90441,276.802118,"59,d Ser巨蛇","59,d Ser",5.199999809,706,東海增二,
角宿,,-10.740408,49 Vir,64078,196.974218,49 Vir室女,49 Vir,5.150000095,799,角宿增十五,
尚書,h Dra,65.134796,19 Dra,82860,254.007041,"19,h Dra天龍","19,h Dra",4.88,56,尚書五,
明堂,e Leo,-3.003501,87 Leo,56127,172.578722,"87,e Leo獅子","87,e Leo",4.769999981,519,明堂增七,
太微右垣,σ Leo,6.029322,77 Leo,55434,170.284143,"77,σ Leo獅子","77,σ Leo",4.05,395,二 西上將,
羽林軍,,-26.859919,,110641,336.193711,,,7.04,1757,羽林軍七,
勢,,27.973948,44 LMi,52959,162.473861,44 LMi小獅,44 LMi,6.050000191,229,勢增十六,
奚仲,κ Cyg,53.368459,1 Cyg,94779,289.275703,"1,κ Cyg天鵝","1,κ Cyg",3.8,1423,奚仲一,
翼宿,ζ Crt,-18.350674,27 Crt,57283,176.190732,"27,ζ Crt巨爵","27,ζ Crt",4.71,3048,翼宿三,
文昌,υ UMa,59.038736,29 UMa,48319,147.747324,"29,υ UMa大熊","29,υ UMa",3.78,234,文昌二,
王良,,53.046786,,1982,6.276711,,,5.71999979,1935,王良增十二,
左旗,,19.773403,9 Vul,96275,293.645401,9 Vul狐狸,9 Vul,5,1271,左旗增七,
五諸侯,υ Gem,26.895741,69 Gem,36962,113.98061,"69,υ Gem雙子","69,υ Gem",4.06,2641,五諸侯四,
天溷,,-3.592846,13 Cet,2762,8.811997,13 Cet鯨魚,13 Cet,5.199999809,1979,天溷增二,
天鉤,,62.08194,9 Cep,106801,324.480102,9 Cep仙王,9 Cep,4.760000229,1641,天鉤增九,
車府,,43.312417,15 Lac,112917,343.008479,15 Lac蠍虎,15 Lac,4.95,1587,車府一,
天園,f Eri,-37.620155,,17797,57.149495,f Eri波江,f Eri,4.3,2461,天園八,
壁宿,,20.294316,52 Psc,2568,8.147858,52 Psc雙魚,52 Psc,5.380000114,1834,壁宿增廿三,
座旗,ψ3 Aur,39.902559,52 Aur,31789,99.704918,"52,ψ3 Aur御夫","52,ψ3 Aur",5.34,2492,座旗七,
鬼宿,η Cnc,20.441162,33 Cnc,41909,128.177071,"33,η Cnc巨蟹","33,η Cnc",5.33,2791,鬼宿二,
芻?,,-2.780031,71 Cet,11261,36.243288,71 Cet鯨魚,71 Cet,6.34,2245,芻?四,
天狗,,-37.372311,,43622,133.271184,,,9.05,2862,天狗三*,
常陳,,38.723754,16 CVn,64244,197.505375,16 CVn獵犬,16 CVn,7.159999847,449,常陳增四,
天倉,,-7.922826,37 Cet,5799,18.600166,37 Cet鯨魚,37 Cet,5.139999866,2068,天倉增九,
壘壁陣,,-2.761598,20 Psc,117375,356.985596,20 Psc雙魚,20 Psc,5.489999771,1746,壘壁陣增四,
玉井,ψ Eri,-7.173965,65 Eri,23364,75.35977,"65,ψ Eri波江","65,ψ Eri",4.8,2558,玉井二,
天田,,1.050581,92 Vir,68092,209.116154,92 Vir室女,92 Vir,5.900000095,809,天田增五,
天街,κ1 Tau,22.293874,65 Tau,20635,66.342355,"65,κ1 Tau金牛","65,κ1 Tau",4.210000038,2321,天街增二,
婁宿,η Ari,21.210993,17 Ari,10306,33.200356,"17,η Ari白羊","17,η Ari",5.230000019,1999,婁宿增十二,
天津,ε Cyg,33.970256,53 Cyg,102488,311.552845,"53,ε Cyg天鵝","53,ε Cyg",2.48,1382,天津九,Gienah
北斗,,65.71628,38 UMa,52353,160.485632,38 UMa大熊,38 UMa,5.119999886,159,天樞增三,
天柱,,80.000841,40 Dra,88127,270.014787,40 Dra天龍,40 Dra,6.11,35,天柱五,
金魚,α Pic,-61.941392,,32607,102.047718,α Pic繪架,α Pic,3.24000001,3216,金魚增一,
八穀,,55.259109,5 Cam,22854,73.763022,5 Cam鹿豹,5 Cam,5.519999981,277,八穀增三,
文昌,f UMa,51.604648,15 UMa,44901,137.217734,"15,f UMa大熊","15,f UMa",4.46,237,文昌五,
天江,,-26.629023,38 Oph,84605,259.414706,38 Oph蛇夫,38 Oph,6.809999943,1077,天江增二,
蓋屋,ο Aqr,-2.155363,31 Aqr,108874,330.828517,"31,ο Aqr寶瓶","31,ο Aqr",4.74,1547,蓋屋一,
十二國,,-20.084274,37 Cap,106559,323.712713,37 Cap摩羯,37 Cap,5.699999809,1461,代增一,
房宿,β1 Sco,-19.805453,8A Sco,78820,241.359295,"8A,β1 Sco天蠍","8A,β1 Sco",2.56,1009,房宿四,Acrab
房宿,ρ Sco,-29.214073,5 Sco,78104,239.221152,"5,ρ Sco天蠍","5,ρ Sco",3.87,1007,房宿二,
天囷,,10.741725,,12647,40.620565,,,6.320000172,2179,天囷增九,
離珠,,0.486445,1 Aqr,101936,309.853715,1 Aqr寶瓶,1 Aqr,5.15,1350,離珠三,
八穀,ξ Aur,55.706947,30 Aur,27949,88.711592,"30,ξ Aur御夫","30,ξ Aur",4.960000038,280,八穀增六,
平,π Hya,-26.682361,49 Hya,68895,211.592904,"49,π Hya長蛇","49,π Hya",3.25,839,平二,
列肆,λ Oph,1.983923,10 Oph,80883,247.728429,"10,λ Oph蛇夫","10,λ Oph",3.82,568,列肆二,Marfik
五帝內座,,77.281341,47 Cas,9727,31.280923,47 Cas仙后,47 Cas,5.269999981,85,五帝內座增一,
司非,,10.048922,6 Equ,104538,317.630476,6 Equ小馬,6 Equ,6.070000172,1483,司非增一,
紫微左垣,γ Cep,77.632276,35 Cep,116727,354.836871,"35,γ Cep仙王","35,γ Cep",3.210000038,142,少衛增八,
天津,α Cyg,45.280338,50 Cyg,102098,310.357978,"50,α Cyg天鵝","50,α Cyg",1.25,1377,天津四,Deneb
王良,,62.214516,6 Cas,117447,357.209047,6 Cas仙后,6 Cas,5.429999828,1924,王良增一,
土公,,11.145813,34 Psc,813,2.509176,34 Psc雙魚,34 Psc,5.539999962,1842,土公增二,
畢宿,σ2 Tau,15.917977,92 Tau,21683,69.818758,"92,σ2 Tau金牛","92,σ2 Tau",4.670000076,2317,附耳增四,
靈台,p3 Leo,-0.000833,62 Leo,54049,165.902468,"62,p3 Leo獅子","62,p3 Leo",5.949999809,508,靈台增七,
天市右垣,ε Ser,4.47773,37 Ser,77622,237.704025,"37,ε Ser巨蛇","37,ε Ser",3.71,616,八 巴,
天陰,ζ Ari,21.044441,58 Ari,15110,48.7254,"58,ζ Ari白羊","58,ζ Ari",4.87,2232,天陰二,
羽林軍,,-15.039338,97 Aqr,115404,350.663221,97 Aqr寶瓶,97 Aqr,5.19,1785,羽林軍卅五,
八穀,,51.59772,9 Aur,23783,76.669295,9 Aur御夫,9 Aur,4.98,272,八穀六▅,
奎宿,,32.181485,76 Psc,5175,16.546671,76 Psc雙魚,76 Psc,6.28,1889,奎宿十,
少微,,25.201902,51 LMi,54196,166.31448,51 LMi小獅,51 LMi,7.599999905,481,少微增五,
天牢,,38.185557,55 UMa,55266,169.782921,55 UMa大熊,55 UMa,4.760000229,209,天牢增二,
人,,23.638838,2 Peg,106140,322.487063,2 Peg飛馬,2 Peg,4.52,1562,人一,
天紀,,33.797579,,82415,252.637259,,,7.900000095,731,天紀增十二,
軫宿,δ Crv,-16.515433,7 Crv,60965,187.466064,"7,δ Crv烏鴉","7,δ Crv",2.94,3077,軫宿三,Algorab
造父,λ Cep,59.414488,22 Cep,109556,332.8774,"22,λ Cep仙王","22,λ Cep",5.05,1616,造父三,
參宿,β Ori,-8.201641,19 Ori,24436,78.634468,"19,β Ori獵戶","19,β Ori",0.18,2512,參宿七,Rigel
房宿,,-26.265993,4 Sco,77984,238.875333,4 Sco天蠍,4 Sco,5.630000114,1015,房宿增六,
狗國,,-32.056296,,98842,301.081636,,,4.989999771,1176,狗國增一,
胃宿,,25.255175,52 Ari,14376,46.361208,52 Ari白羊,52 Ari,5.449999809,2098,胃宿增四,
翼宿,,-20.20005,,56179,172.734708,,,7.87,3060,翼宿十五*,
壘壁陣,,-5.707618,33 Psc,443,1.33392,33 Psc雙魚,33 Psc,4.61,1741,壘壁陣十一,
青丘,ο Hya,-34.74466,,56922,175.053288,ο Hya長蛇,ο Hya,4.7,3093,青丘七,
宗人,,4.368615,66 Oph,88149,270.065828,66 Oph蛇夫,66 Oph,4.79,589,宗人一,
太微右垣,δ Leo,20.523717,68 Leo,54872,168.527089,"68,δ Leo獅子","68,δ Leo",2.56,398,五 西上相,Zosma
馬腹,β Cen,-60.373039,,68702,210.955852,β Cen半人馬,β Cen,0.61,3112,馬腹一,Hadar
折威,,-24.997753,4 Lib,71974,220.806465,4 Lib天秤,4 Lib,5.7,912,折威四,
天園,δ Phe,-49.072702,,7083,22.812936,δ Phe鳳凰,δ Phe,3.93,2454,天園一,
天溷,,-1.14426,20 Cet,4147,13.25206,20 Cet鯨魚,20 Cet,4.78000021,1980,天溷增三,
進賢,,-7.500299,28 Vir,61969,190.490367,28 Vir室女,28 Vir,6.809999943,822,進賢增七,
大陵,,36.117893,,14066,45.314166,,,7.25,2124,大陵增十七,
五諸侯,b1 Gem,28.118275,64 Gem,36393,112.335172,"64,b1 Gem雙子","64,b1 Gem",5.070000172,2646,五諸侯增四,
輦道,η Cyg,35.083424,21 Cyg,98110,299.07655,"21,η Cyg天鵝","21,η Cyg",3.890000105,1322,輦道增五,
勢,,31.976238,37 LMi,52098,159.680053,37 LMi小獅,37 LMi,4.679999828,224,勢增十一,
角宿,,-7.871892,81 Vir,66465,204.396614,81 Vir室女,81 Vir,7.050000191,789,角宿增五,
天倉,,-0.509029,42 Cet,6226,19.95123,42 Cet鯨魚,42 Cet,5.869999886,2061,天倉增二,
軫宿,q Vir,-9.452077,21 Vir,61318,188.444786,"21,q Vir室女","21,q Vir",5.480000019,3079,軫宿增一,
天倉,,-2.251079,34 Cet,5594,17.931287,34 Cet鯨魚,34 Cet,5.929999828,2063,天倉增四,
內階,,59.571133,29 Lyn,40646,124.46006,29 Lyn天貓,29 Lyn,5.630000114,257,內階增五,
昴宿,η Tau,24.105137,25 Tau,17702,56.871152,"25,η Tau金牛","25,η Tau",2.85,2197,昴宿六,Alcyone
箕宿,γ Sgr,-30.424091,10 Sgr,88635,271.452029,"10,γ Sgr人馬","10,γ Sgr",2.98,1094,箕宿一,Alnasl
牛宿,,-13.637217,63 Sgr,98633,300.494169,63 Sgr人馬,63 Sgr,5.690000057,1203,牛宿增一,
水位,,17.308703,3 Cnc,39177,120.197114,3 Cnc巨蟹,3 Cnc,5.599999905,2671,水位增七,
內平,,31.923672,20 LMi,49081,150.252736,20 LMi小獅,20 LMi,5.369999886,3032,內平增九,
天市右垣,q Her,16.665693,,79332,242.86974,q Her武仙,q Her,6.090000153,623,晉增三,
天廚,,65.978513,55 Dra,94140,287.440863,55 Dra天龍,55 Dra,6.260000229,328,天廚增一,
杵,α Ara,-49.876145,,85792,262.960389,α Ara天壇,α Ara,2.84,1101,杵二,
柳宿,σ Hya,3.341435,5 Hya,42402,129.689324,"5,σ Hya長蛇","5,σ Hya",4.45,2879,柳宿二,
天市右垣,b Ser,-3.090497,36 Ser,77660,237.814972,"36,b Ser巨蛇","36,b Ser",5.090000153,651,巴增五,
畢宿,,16.323339,,21257,68.408697,,,6.579999924,2312,畢宿增十八,
天船,ψ Per,48.192634,37 Per,16826,54.122412,"37,ψ Per英仙","37,ψ Per",4.32,2133,天船四,
翼宿,β Crt,-22.825847,11 Crt,54682,167.914539,"11,β Crt巨爵","11,β Crt",4.46,3061,翼宿十六,
水府,,14.171787,137 Tau,27743,88.092882,137 Tau金牛,137 Tau,5.599999905,2621,水府增四,
咸池,λ Aur,40.099051,15 Aur,24813,79.78531,"15,λ Aur御夫","15,λ Aur",4.69,2377,咸池三,
天大將軍,,40.72979,55 And,8814,28.322269,55 And仙女,55 And,5.420000076,2024,天大將軍增十一,
八魁,f Cet,-15.467977,6 Cet,910,2.816072,"6,f Cet鯨魚","6,f Cet",4.89,1804,八魁一,
天囷,,-0.884852,70 Cet,11046,35.551652,70 Cet鯨魚,70 Cet,5.42,2168,天囷十一,
牛宿,,-17.875405,,101040,307.252888,,,6.550000191,1216,牛宿增十四,
水位,g Gem,18.510044,81 Gem,37908,116.53103,"81,g Gem雙子","81,g Gem",4.889999866,2668,水位增四,
爟,ω1 Cnc,25.392836,2 Cnc,39191,120.232807,"2,ω1 Cnc巨蟹","2,ω1 Cnc",5.869999886,2824,爟增二,
尚書,g Dra,64.589046,18 Dra,81660,250.229664,"18,g Dra天龍","18,g Dra",4.84,54,尚書三,
從官,ψ2 Lup,-34.710407,4 Lup,76945,235.670917,"4,ψ2 Lup豺狼","4,ψ2 Lup",4.75,1039,從官一,
三台,,43.217825,36 Lyn,45290,138.450863,36 Lyn天貓,36 Lyn,5.300000191,464,上台增六,
天相,ε Sex,-8.068914,22 Sex,50414,154.407509,"22,ε Sex六分儀","22,ε Sex",5.25,2931,天相三,
柳宿,c Cnc,9.65558,36 Cnc,42265,129.274043,"36,c Cnc巨蟹","36,c Cnc",5.920000076,2892,柳宿增七,
積卒,θ Lup,-36.802288,,78918,241.648103,θ Lup豺狼,θ Lup,4.22,1054,積卒一,
造父,ν Cep,61.120806,10 Cep,107418,326.36219,"10,ν Cep仙王","10,ν Cep",4.25,1618,造父五,
郎位,,25.87028,4 Com,59468,182.963235,4 Com后髮,4 Com,5.659999847,438,郎位增三,
氐宿,,-15.134037,30 Lib,75294,230.757434,30 Lib天秤,30 Lib,6.460000038,949,氐宿增十八,
天市左垣,,6.61529,,92872,283.864358,,,5.579999924,702,徐增二,
八穀,δ Aur,54.284656,33 Aur,28358,89.881819,"33,δ Aur御夫","33,δ Aur",3.72,267,八穀一,
海石,υ Car,-65.072007,,48002,146.775507,υ Car船底,υ Car,2.92,3221,海石五,
天市左垣,,21.554572,,94382,288.153056,,,6.019999981,691,齊增十,
玄戈,λ Boo,46.088305,19 Boo,69732,214.095911,"19,λ Boo牧夫","19,λ Boo",4.18,184,玄戈,
井宿,,15.930675,45 Gem,34440,107.091831,45 Gem雙子,45 Gem,5.46999979,2607,井宿增十五,
軒轅,,14.975773,42 Leo,50755,155.459596,42 Leo獅子,42 Leo,6.159999847,2995,軒轅增卅五,
五帝座,,16.242882,,57646,177.311619,,,6.05,346,五帝座二,
天溷,,-3.957332,12 Cet,2353,7.509825,12 Cet鯨魚,12 Cet,5.71999979,1978,天溷增一,
奚仲,θ Cyg,50.221103,13 Cyg,96441,294.110562,"13,θ Cyg天鵝","13,θ Cyg",4.49,1425,奚仲三,
天苑,,-9.868261,,16677,53.656129,,,6.25,2286,天苑增十八,
雲雨,,-1.791213,11 Psc,115945,352.362446,11 Psc雙魚,11 Psc,6.349999905,1870,雲雨增一,
十二國,,-17.985138,30 Cap,105143,319.488692,30 Cap摩羯,30 Cap,5.4,1448,秦二,
車肆,,-4.222644,30 Oph,83262,255.265008,30 Oph蛇夫,30 Oph,4.820000172,576,車肆增二,
天高,n Tau,22.096494,109 Tau,24822,79.819176,"109,n Tau金牛","109,n Tau",4.96,2327,天高四,
北極,,76.04226,,72307,221.792375,,,7.380000114,6,庶子增一,
南河,η CMi,6.941968,5 CMi,36265,112.008645,"5,η CMi小犬","5,η CMi",5.21999979,2681,南河增二,
文昌,θ UMa,51.6773,25 UMa,46853,143.21431,"25,θ UMa大熊","25,θ UMa",3.17,236,文昌四,
闕丘,δ Mon,-0.492764,22 Mon,34769,107.966084,"22,δ Mon麒麟","22,δ Mon",4.150000095,2707,闕丘增三,
太陽守,χ UMa,47.779406,63 UMa,57399,176.512558,"63,χ UMa大熊","63,χ UMa",3.69,199,太陽守,
左旗,,22.610046,12 Vul,97679,297.767118,12 Vul狐狸,12 Vul,4.900000095,1282,左旗增十八,
天津,,44.059304,56 Cyg,102843,312.520546,56 Cyg天鵝,56 Cyg,5.059999943,1413,天津增卅一,
明堂,,3.060165,89 Leo,56445,173.591458,89 Leo獅子,89 Leo,5.760000229,513,明堂增一,
昴宿,,24.113339,17 Tau,17499,56.218905,17 Tau金牛,17 Tau,3.72,2192,昴宿一,Electra
天苑,ε Eri,-9.458262,18 Eri,16537,53.232684,"18,ε Eri波江","18,ε Eri",3.72,2256,天苑四,
鱉,α CrA,-37.904474,,94114,287.36809,α CrA南冕,α CrA,4.11,1191,鱉六,
夾白,θ Dor,-67.185255,,24372,78.439393,θ Dor劍魚,θ Dor,4.81,3209,夾白一,
水位,,12.006564,6 CMi,36425,112.449095,6 CMi小犬,6 CMi,4.55,2661,水位一,
廁,β Lep,-20.759441,9 Lep,25606,82.061347,"9,β Lep天兔","9,β Lep",2.81,2573,廁二,Nihal
天社,κ Vel,-55.010668,,45941,140.52841,κ Vel船帆,κ Vel,2.47,2871,天社五,
天牢,,39.212092,49 UMa,53838,165.21008,49 UMa大熊,49 UMa,5.06,206,天牢五,
北斗,,57.082637,37 UMa,51814,158.790387,37 UMa大熊,37 UMa,5.159999847,161,天璇增二,
鈇鑕,,-20.596149,,8121,26.093325,,,8.11,2089,鈇鑕三*,
墳墓,,4.695664,35 Peg,110882,336.964676,35 Peg飛馬,35 Peg,4.78000021,1544,墳墓增二,
靈台,,0.432934,57 Leo,53460,164.043877,57 Leo獅子,57 Leo,6.659999847,505,靈台增四,
梗河,W Boo,26.52785,34 Boo,71995,220.85568,"34,W Boo牧夫","34,W Boo",4.800000191,977,梗河增五,
大陵,,57.899821,8 Per,10718,34.499532,8 Per英仙,8 Per,5.75,2109,大陵增二,
心宿,ρ Oph,-23.447179,5 Oph,80473,246.396323,"5,ρ Oph蛇夫","5,ρ Oph",4.570000172,1048,心宿增四,
天廚,e Dra,64.820974,64 Dra,98583,300.368939,"64,e Dra天龍","64,e Dra",5.22,326,天廚五,
太微右垣,θ Leo,15.42957,70 Leo,54879,168.560022,"70,θ Leo獅子","70,θ Leo",3.33,397,四 西次相,Chertan
離宮,,25.167281,69 Peg,115806,351.918277,69 Peg飛馬,69 Peg,5.989999771,1673,離宮增八,
外屏,,5.656262,73 Psc,5074,16.219323,73 Psc雙魚,73 Psc,6.03000021,1964,外屏增六,
天相,,-8.418462,18 Sex,49865,152.732755,18 Sex六分儀,18 Sex,5.639999866,2932,天相增一,
天柱,,80.004095,41 Dra,88136,270.038435,41 Dra天龍,41 Dra,5.739999771,40,天柱增五,
軒轅,,32.727269,,42503,129.984811,,,6.699999809,2969,軒轅增九,
壁宿,,13.482488,42 Psc,1772,5.606182,42 Psc雙魚,42 Psc,6.25,1823,壁宿增十二,
羽林軍,b3 Aqr,-20.914504,101 Aqr,116247,353.319265,"101,b3 Aqr寶瓶","101,b3 Aqr",4.7,1781,羽林軍卅一,
左旗,,18.671875,9 Sge,97796,298.090687,9 Sge天箭,9 Sge,6.239999771,1293,左旗增廿九,
右更,,19.240422,94 Psc,6732,21.67366,94 Psc雙魚,94 Psc,5.5,2036,右更增一,
螣蛇,ρ Cas,57.499382,7 Cas,117863,358.595968,"7,ρ Cas仙后","7,ρ Cas",4.51,1685,螣蛇十二,
畢宿,α Tau,16.509301,87 Tau,21421,68.980161,"87,α Tau金牛","87,α Tau",0.87,2291,畢宿五,Aldebaran
靈台,p4 Leo,1.955525,65 Leo,54336,166.725864,"65,p4 Leo獅子","65,p4 Leo",5.519999981,509,靈台增八,
斗,,11.490028,,79634,243.755334,,,7.55,542,斗三,
天倉,,-2.500368,39 Cet,5951,19.1512,39 Cet鯨魚,39 Cet,5.420000076,2065,天倉增六,
十二國,η Cap,-19.854991,22 Cap,104019,316.101252,"22,η Cap摩羯","22,η Cap",4.82,1445,周一,
斛,ι Oph,10.165359,25 Oph,82673,253.501965,"25,ι Oph蛇夫","25,ι Oph",4.39,556,斛一,
天囷,δ Cet,0.328511,82 Cet,12387,39.870653,"82,δ Cet鯨魚","82,δ Cet",4.08,2166,天囷九,
漸台,δ2 Lyr,36.898613,12 Lyr,92791,283.626182,"12,δ2 Lyr天琴","12,δ2 Lyr",4.22,1302,漸台一,
天囷,,-0.340251,61 Cet,9631,30.950714,61 Cet鯨魚,61 Cet,5.960000038,2173,天囷增三,
車府,,41.819235,13 Lac,112242,341.022829,13 Lac蠍虎,13 Lac,5.110000134,1606,車府增十三,
敗瓜,,7.864185,14 Del,102819,312.451083,14 Del海豚,14 Del,6.320000172,1359,敗瓜增二,
斗,n Her,5.52122,28 Her,81007,248.148689,"28,n Her武仙","28,n Her",5.630000114,554,斗增十,
右攝提,e Boo,21.264106,6 Boo,67480,207.428471,"6,e Boo牧夫","6,e Boo",4.920000076,896,右攝提增一,
天錢,,-27.630495,11 PsA,108571,329.894802,11 PsA南魚,11 PsA,7.230000019,1559,天錢增二,
亢宿,φ Vir,-2.227957,105 Vir,70755,217.050575,"105,φ Vir室女","105,φ Vir",4.81,876,亢宿三,
敗瓜,η Del,13.027255,3 Del,101483,308.487678,"3,η Del海豚","3,η Del",5.39,1354,敗瓜二,
天市左垣,λ Her,26.110645,76 Her,85693,262.684625,"76,λ Her武仙","76,λ Her",4.41,653,二 趙,Maasym
五車,ο Aur,49.826255,27 Aur,27196,86.475161,"27,ο Aur御夫","27,ο Aur",5.460000038,2363,五車增十七,
卷舌,ε Per,40.010215,45 Per,18532,59.463461,"45,ε Per英仙","45,ε Per",2.9,2214,卷舌二,
天津,,31.57254,48 Cyg,101765,309.382409,48 Cyg天鵝,48 Cyg,6.320000172,1399,天津增十七,
臼,,30.174215,14 Peg,107763,327.461228,14 Peg飛馬,14 Peg,5.070000172,1579,臼增一,
斗,,8.53431,47 Ser,79072,242.116979,47 Ser巨蛇,47 Ser,5.690000057,549,斗增五,
建,d Sgr,-18.952908,43 Sgr,94820,289.408664,"43,d Sgr人馬","43,d Sgr",4.88,1145,建四,
天倉,,-0.973795,38 Cet,5833,18.704883,38 Cet鯨魚,38 Cet,5.699999809,2062,天倉增三,
八穀,,56.918939,29 Cam,27592,87.641141,29 Cam鹿豹,29 Cam,6.53000021,281,八穀增七,
三台,μ UMa,41.499516,34 UMa,50801,155.582252,"34,μ UMa大熊","34,μ UMa",3.06,456,中台二,Tania Australis
