HIP,中文星名,英文星名
11029,芻槁五,
11046,天囷十一,
11060,大陵一,
11220,大陵增八,
11249,天囷增七,
11261,芻槁四,
11287,天苑增七,
11313,大陵增九,
11345,芻槁一,
11407,天園四,
11465,大陵增十,
11484,天囷六,
11486,胃宿增二,
11569,閣道一,
11678,左更增一,
11767,勾陳一 北極星,Polaris
11783,天苑增九,
11784,天大將軍增八/天大將軍增十七▂,
11791,天囷十,
11821,天庾二*,
12002,芻槁二,
12048,芻槁增三,
12093,天囷七,
12107,芻槁增五,
12153,天囷增八,
12247,芻槁增四,
12273,杠增一,
12332,左更一,
12387,天囷九,
12390,芻槁六,
12394,蛇腹二,
12413,天園五,
12486,天園增一,
12489,胃宿增五,
12530,天囷增廿,
12623,大陵八,
12640,左更二,
12647,天囷增九,
12706,天囷八,
12719,胃宿一,
12741,天庾增二*,
12762,天庾增三*,
12768,大陵增十四,
12770,天苑七,
12777,大陵增十三,
12786,天庾三*,
12803,左更三,
12828,天囷四,
12843,天苑八/天苑增八,
12876,蛇腹一,
13055,五帝內座三,
13061,胃宿二,
13108,左更增二,
13165,左更五,
13209,胃宿三,
13238,大陵增十二*,
13244,附白二,
13254,大陵七,
13268,天船一,
13288,天苑九,
13327,左更四,
13328,大陵增十六,
13448,左更增八,
13490,大陵增十五,
13531,大陵二/大陵增十一,
13579,左更增三,
13654,左更增五,
13665,傳舍六,
13701,天苑六,Azha
13702,左更增四,
13775,胃宿增三,
13782,天苑增六,
13834,左更增六,
13835,天苑增五,
13847,天園六,Acamar
13879,積屍,
13914,左更增七,
13951,天囷增十九,
13954,天囷三,
14022,天園增二*,
14040,天囷增十八,
14060,天苑增十,
14066,大陵增十七,
14135,天囷一,Menkar
14143,天囷增十,
14146,天苑十,
14168,天苑增十一,
14293,天苑增十二,
14328,天船二,
14354,大陵六,
14376,胃宿增四,
14417,五帝內座一,
14576,大陵五,Algol
14586,天陰增一,
14632,大陵三,
14649,天陰增五,
14668,大陵四,
14817,大陵增十八/大陵增廿一▅,
14838,天陰四/天陰增六,Botein
14862,杠二,
14879,天苑增三/天苑增四/天苑增十七,
14954,天囷增十七,
15110,天陰二,
15197,天苑五,Zibal
15244,天苑增十三,
15338,大陵增廿,
15382,天苑增二,
15383,天囷增十六,
15404,天船增一,
15444,天船增二,
15457,天囷增十一,
15474,天苑十一,
15510,天園增三,
15520,紫微右垣七 上丞,
15547,五帝內座四,
15619,天囷二,
15648,大陵增十九,
15696,天阿,
15737,天陰三,
15861,天陰增二,
15863,天船三,Mirphak
15900,天廩四,
16083,天廩三,
16228,傳舍七,
16244,天船增三,
16281,傳舍八,
16292,傳舍九,
16322,天廩二/天廩增三,
16335,天船增四,
16341,天苑增十四,
16369,天廩一,
16428,天陰五*,
16499,天船增五,
16511,天廩增一,
16537,天苑四,
16611,天苑十二,
16664,昴宿增二,
16677,天苑增十八,
16707,天陰一*,
16713,卷舌增一,
16803,天苑增一,
16826,天船四,
16846,天囷增廿一,
16852,天囷增十五,
16859,昴宿增三,
16870,天園增四,
17027,天苑增十五,
17103,天囷增十二,
17167,天苑增十六,
17181,昴宿增一,
17309,天陰增三,
17313,卷舌六,
17351,天園七,
17358,天船五,
17378,天苑三,
17408,天陰增四,
17440,蛇首二,
17448,卷舌五▅/卷舌增七,Atik
17457,天囷增十四,
17489,昴宿增九,Celaeno
17499,昴宿一,Electra
17506,天囷增十三,
17527,昴宿增八,
17529,卷舌一,
17531,昴宿二,Taygeta
17563,天廩增二,
17572,昴宿增四*,
17573,昴宿四,Maia
17579,昴宿三,Asterope
17587,上丞增二,
17593,天苑二,
17608,昴宿五,Merope
17651,天苑十三,
17678,附白一,
17702,昴宿六,Alcyone
17704,昴宿增十▂,
17717,天苑十四,
17771,畢宿增一,
17797,天園八,
17832,昴宿增十一,
17847,昴宿七,Atlas
17851,昴宿增十二,Pleione
17874,天園九,
17884,上丞增一,
17886,天讒,
17900,昴宿增十三,
17959,杠一,
18089,畢宿增二,
18122,九州殊口增三,
18141,九州殊口增四/九州殊口增五▂,
18213,天園增五,
18216,天苑十五,
18246,卷舌四,
18255,九州殊口增二,
18453,積水增一,
18471,昴宿增五,
18488,傳舍增二,
18505,上丞增三,
18532,卷舌二,
18543,天苑一,Zaurak
18614,卷舌三,Menkib
18673,天苑十六,
18724,畢宿八,
18788,九州殊口增一,
18907,畢宿增三,
18957,畢宿增四,
19018,傳舍增四,
19038,月,
19076,月增一,
19167,積水,
19205,礪石一,
19302,卷舌增四,
19335,卷舌增五,
19343,天船六,
19388,天街增一,
19461,五帝內座五,
19483,九州殊口增六,
19513,礪石二,
19554,畢宿增五,
19587,九州殊口二,Beid
19719,畢宿增六/畢宿增十四▂,
19740,畢宿增八,
19747,天園增六,
19777,九州殊口一,
19780,夾白二,
19811,卷舌增六,
19812,天船七,
19849,九州殊口增七/九州殊口增十一,Keid
19860,畢宿增七,
19877,畢宿增九,
19893,金魚一,
19949,天船九,
19968,傳舍增三,
19990,天街二,
20042,天園十,
20070,天船增十,
20156,天船八,
20205,畢宿四,
20219,天節三,
20250,礪石四,
20252,卷舌增三,
20261,畢宿增十,
20266,少衛增一,
20354,天船增六,
20430,礪石三,
20455,畢宿三,
20484,畢宿增十一,
20507,九州殊口三,
20522,天節八,
20535,天園十一,
20542,畢宿增十二,
20579,卷舌增二,
20635,天街增二,
20641,天街一,
20648,畢宿二,
20711,天街增三,
20713,畢宿七,
20732,天節一,
20789,天街增四,
20884,九斿增一,
20885,畢宿六,
20889,畢宿一,Ain
20894,畢宿增十三,
20901,天節四,
21029,畢宿增十五,
21053,畢宿增十六,
21137,畢宿增十七,
21139,九斿增二,
21148,天船增九,
21238,五車增十九,
21242,五車增二,
21248,天園十三,
21257,畢宿增十八,
21273,天節二,
21278,九州殊口增九,
21281,金魚二,
21296,九州殊口增八,
21393,天園十二,
21402,天節七,
21421,畢宿五,Aldebaran
21444,九州殊口四,
21476,五車增三,
21515,九斿一,
21547,九州殊口增十,
21588,附耳增二/附耳增三,
21589,天節五,
21594,九斿增四,
21673,附耳增一,
21683,附耳/附耳增四,
21685,九斿增六,
21727,天船增七,
21730,天船增八,
21735,天節六,
21763,九斿八,
21881,諸王六,
21928,五車增一,
21961,諸王增一,
21986,九州殊口六,
22024,九州殊口五,
22109,九斿二,
22263,九斿七,
22287,八穀增一,
22325,九斿增五,
22441,參旗增一,
22449,參旗六,
22453,五車增七,
22479,九斿六,
22509,參旗五,
22549,參旗七,
22565,天高二,
22667,參旗一,
22678,五車增八,
22701,九斿三,
22730,參旗增十一,
22783,紫微右垣六 少衛,
22797,參旗八/參旗增十二,
22833,參旗三,
22845,參旗四,
22854,八穀增三,
22957,參旗二,
22958,九斿增三,
22994,八穀增二,
23015,五車一,
23040,八穀五,
23043,參旗增二,
23068,諸王五,
23088,諸王增二,
23123,參旗九,
23179,五車增六,
23214,參旗增三,
23221,九斿四,
23231,九斿五,
23261,五車增五,
23265,六甲五,
23268,五車增四,
23364,玉井二,
23416,柱一,
23453,柱二,
23474,九斿九,
23497,天高一,
23522,八穀增十四,
23554,九斿增七,
23607,參旗增四,
23685,屏二,
23734,八穀七,
23743,八穀增十三,
23767,柱三,
23783,八穀六▅/八穀增四,
23794,玉井增一,
23802,玉井增三,
23835,天高增一,
23852,參旗增八/參旗增九,
23871,天高增二,
23875,玉井三,Cursa
23879,參旗增十,
23883,天高增三,
23900,諸王四,
23941,玉井增二,
23949,天高三,
23972,玉井一,
23983,參旗增七,
24010,參旗增五,
24169,軍井增二,
24186,,Kapteyn's Star
24244,軍井一,
24254,六甲增一,
24305,屏一,
24327,軍井二,
24331,參宿增九,
24340,天潢五,
24348,八穀四,
24372,夾白一,
