color_index,DEC,HIP no.,RA,mag,恆星視差
K2III,-24.8468261461,93498,285.6153173525,5.63,1.232
M3III,43.1385671283,77907,238.6577103148,5.35,1.645
K3/K4III,-60.4011467037,60260,185.3400385899,3.59,1.389
K0III,-0.4826734583,44356,135.4916175819,5.64,1.163
M0III,46.1802878161,37023,114.1318098504,5.66,1.56
K0II-III...,12.9366780926,16369,52.7182429936,4.14,1.112
B3V + A,12.4903465919,18724,60.1700656208,3.41,-0.099
K3III,-45.2660155539,39690,121.6680812561,5.04,1.488
A2m,86.9680473547,85699,262.6982850018,5.78,0.239
K2III,28.6080171119,109730,333.4112473835,5.87,1.169
B8Ib/II,-31.7032035271,87220,267.2936508559,4.79,-0.028
B2.5IV,-38.3967065608,78384,240.0305340109,3.42,-0.206
A0p...,49.8262553404,27196,86.4751611874,5.46,0.03
A7V,22.1999980178,20641,66.3542311589,5.27,0.25
K3III,-58.0021160574,30703,96.7671930953,5.82,1.279
A5V,54.0218573927,45493,139.047198466,4.8,0.199
G0Ia,56.9453737996,113561,345.0212531189,5.1,1.011
A9V,-17.6840096535,55705,171.2205158673,4.06,0.216
G3IV,-80.469121925,26394,84.2912154248,5.65,0.6
K0II,38.1337307696,94713,289.0920627459,4.35,1.258
M5III,-46.8845769008,112122,340.6668778149,2.07,1.61
K3III,37.7487366772,109937,333.992402566,4.14,1.447
K2III,-1.5031247221,67929,208.6756116358,5.16,1.093
B2II,-19.7023381806,37036,114.1709738466,5.69,-0.165
A2IV,-0.6668033087,60129,184.9764872072,3.89,0.026
A3m...,-50.2492906376,67292,206.865160824,5.92,0.279
K2III,-15.5773518053,46618,142.5936803886,5.86,1.193
O6,-24.3607300462,88469,270.9685203276,5.89,0.031
A1V,-47.4411158163,72250,221.6208066387,5.74,0.066
M2III,-26.3266788784,79050,242.0316077533,5.35,1.643
K0III,-20.8707117004,113801,345.6843822541,5.97,0.946
A3Vvar,57.0326169018,59774,183.8565005118,3.32,0.077
K1III,27.3507536101,20250,65.0883987031,4.97,1.15
