color_index,DEC,HIP no.,RA,mag,恆星視差
K2II-III,65.7184220499,29490,93.2127625935,5.36,1.344
K5III,-22.3921761046,92111,281.5858694058,5.37,1.591
B4V+...,-43.2274927047,45344,138.6020198031,5.24,-0.137
F8II + A/F,-63.8098273996,72773,223.146904114,5.91,0.66
K1p...,17.8175317715,9110,29.3377267371,5.09,0.921
B9.5V,14.5446156247,94720,289.1116172559,5.65,-0.02
K0III,48.6504953688,18212,58.4112640932,5.76,1.04
K5III,8.2571645074,108699,330.2884793083,5.65,1.44
B9V,-14.5449047424,116971,355.6806005299,4.49,-0.032
B9V,-66.1959744397,38210,117.4208056801,5.78,-0.04
M3/M4III,-21.7578638361,15474,49.8791747126,3.7,1.614
B2III-IV,-34.7043659811,80911,247.8455555405,4.24,-0.168
A7V,9.8917429201,79007,241.9064109229,5.63,0.2
B9IV,-43.4341018118,92382,282.3958157803,5.6,-0.077
F0V,-18.2501000497,61688,189.6858806361,6,0.31
K4III,-17.9382776704,983,3.041608251,5.29,1.478
G8III,-14.4836655158,27517,87.4022592331,5.49,0.87
A0V,20.0114649,12640,40.5914153993,5.74,-0.017
G9III,72.4557942146,86219,264.2870154984,5.87,1.016
A0V,-26.1160094745,67143,206.4037131134,5.81,0.023
A2m,65.1451701911,42080,128.6505083698,5.47,0.207
F4V,33.9596865236,20591,66.156094103,5.77,0.4
A5e...,58.4057423114,60978,187.4888526245,5.37,0.205
K1III,-24.8406687746,60425,185.8399417431,5.66,1.153
K3III,-35.9513354771,46515,142.3113318686,4.51,1.408
B9.5IV,-58.9013515523,98174,299.2762917392,5.24,0.014
A6IV,-53.2630842994,104978,318.9411270186,5.73,0.191
F3III,40.2014740651,43894,134.1271488409,5.9,0.378
B8/B9V,-39.0411720677,60855,187.0936013486,5.45,-0.073
A3V,27.2640585769,6193,19.8666462167,4.74,0.032
A3IV,23.8544185697,65466,201.2778270371,5.75,0.09
K1III,35.5095053153,69879,214.4992484205,4.8,1.057
M3III,-25.8916433833,35626,110.2680528451,5.87,1.604
F6V,18.0231188559,13702,44.1089786662,5.58,0.471
B0.5V,40.0102146708,18532,59.4634613958,2.9,-0.199
A2V,-37.2534978435,29852,94.2898685247,5.88,0.139
G8III-IV,39.0186160309,60646,186.4622437648,5.01,0.955
F9V,-70.0844008817,80686,247.1172648062,4.9,0.555
A5IV,31.7014956488,27973,88.7457894984,5.9,0.144
A0V,10.1508330996,22845,73.7238661658,4.64,0.085
G8/K0III,-83.2276461812,73540,225.4616523562,5.65,0.962
K3III,7.3789414957,96229,293.5223037234,4.45,1.176
A7III-IVs,0.2557490765,11687,37.6883461943,6,0.168
B5Vn,16.1304060796,29434,93.013664633,4.95,-0.149
Am,-47.5207778087,43671,133.4608150334,5.31,0.275
G5IV,20.5727777568,74896,229.6021030945,5.68,0.972
G8II SB,30.2269157106,104732,318.2341090954,3.21,0.99
M5III,65.9324602037,73199,224.3958633626,4.63,1.59
F5V,-20.0842738733,106559,323.7127127717,5.7,0.423
M2III,49.4581671137,69068,212.0720941922,5.26,1.637
K0III,-23.1180697292,64166,197.2636263938,4.94,1.048
A0p Sr,12.847527631,76866,235.4475644809,5.34,0.033
A2IIIs,65.7145314354,95081,290.1670498275,4.6,0.033
B2IV-V,-44.9537495378,21060,67.7087487603,5.07,-0.194
K2III,7.2597666539,89772,274.78973574,5.41,1.084
Am,-63.6685531205,88866,272.1450574793,4.33,0.228
K2/K3III,-18.2411893087,43798,133.8017919922,5.75,1.327
M2III,-58.361839557,46620,142.5975887667,5.88,1.676
A1V,-15.5856890279,35180,109.0606397013,5.46,0.079
M3III,56.4884046711,102358,311.091880309,5.91,1.643
B6V,-66.9011869555,27534,87.4730026623,5.1,-0.128
K5III,16.5093013899,21421,68.9801611015,0.87,1.538
B9.5III,37.1459462967,85112,260.92060269,4.15,-0.011
B2V,-35.8772872818,38593,118.5458688413,5.48,-0.175
K5III,-35.255326023,81304,249.0936309937,4.18,1.535
K1III,-78.7914418498,117125,356.1701958696,5.74,1.108
G3/G5V,-39.1929802816,80337,246.0053743172,5.37,0.625
F7IV,8.3815634033,13679,44.0573736081,5.97,0.478
B4Vnn,-34.3120206406,28992,91.7652937976,5.82,-0.137
G8II,17.4760411642,96837,295.2622468664,4.39,1.041
K3III,-27.0426412283,89678,274.5132953455,4.66,1.629
K4III,-43.1123691216,50241,153.8815263699,5.59,1.52
K2III,43.6421301468,71568,219.5524538442,5.74,1.481
G8III/IV,-12.8302028004,61296,188.3927451474,5.58,0.861
K5/M0III,-44.3722161433,54811,168.3111891785,5.77,1.661
B8Vv comp VB,-11.5568672946,36251,111.9652555558,5.79,0.583
G2II,52.3013871315,85670,262.6081751146,2.79,0.954
G8IIIvar,8.1617640093,71832,220.4114604301,4.86,0.992
B4V,-47.5547860424,80582,246.7959831483,4.46,-0.07
M3III,3.3974702617,63090,193.9008657814,3.39,1.571
G7II,-33.4364000655,30277,95.5284510143,3.85,0.858
K3III,-9.9475325744,34982,108.5646659367,5.9,1.528
G1V,-62.5063630139,15371,49.5534122586,5.24,0.6
G4IV,-44.6730178032,61379,188.67664301,5.76,0.683
K0III,-51.9682834104,34349,106.8053738341,5.96,0.996
G0Ia,-59.4420610692,56243,172.9419518947,5.07,1.026
A1IV,-48.9598884446,61932,190.3793275166,2.2,-0.023
B5III,-22.8591985908,36236,111.9289072737,5.98,-0.088
K2III:,-4.6165458936,28011,88.8757139305,5.87,1.173
B2.5V,-29.7777538569,76600,234.6640396431,3.66,-0.177
B7III,-45.7327357543,48224,147.4880862792,5.09,-0.098
A0V,-28.1302676747,117452,357.231442004,4.59,0.001
B4IIIpe,48.6840679721,113327,344.2687595754,5.34,-0.102
Am,51.6046483343,44901,137.2177343433,4.46,0.288
B2V,-23.9780944592,77859,238.4827660976,5.41,-0.033
B9.5IV/V,-59.3237927675,52922,162.3518219114,5.85,0.008
B4V,24.8004234542,98609,300.4362959827,5.88,-0.134
F0V,17.0403243708,26382,84.2655658486,5.53,0.237
K0III,-14.7785414027,55282,169.8351981483,3.56,1.112
G0III...,24.1059928097,19009,61.0903061645,5.46,0.813
A1V,12.1099521858,43121,131.733408731,5.89,0.12
F3V+...,-44.4196602934,14913,48.1072774928,5.92,0.44
M3III,9.31335071,117628,357.8385361839,5.77,1.661
G5III,-42.3125098245,90982,278.3757738961,4.62,0.994
K5Ibv SB,43.9278520707,104060,316.232761533,3.72,1.609
B8III,-42.0675215057,66984,205.9170222722,5.96,-0.075
A5III,-64.0712840692,13884,44.6991526777,4.98,0.126
F2IIIp d Del,-9.0525486603,91726,280.5684448997,4.7,0.358
F5/F6IV/V,-16.3766346593,92882,283.8791912873,5.56,0.445
K0II-III,53.5261051998,12686,40.748014502,5.85,1.125
B9.5III-IV,-33.6271654251,77634,237.7397400193,3.97,-0.045
B1V,-1.156072811,26063,83.3810274829,5.36,-0.175
K4V,-21.415475045,73184,224.3666650609,5.72,1.024
F8V,61.1239698635,4151,13.2674859956,4.8,0.54
G2IV+...,61.6967404709,112864,342.8442826048,5.61,0.775
F2p,-15.9550175696,95176,290.431762945,4.52,0.079
K1IV,52.4257306803,94013,287.1074523264,5.88,1.086
A2V+...,36.6317869989,78649,240.8306861411,5.79,0.586
A0p (Si),71.3378143296,89908,275.189293419,4.22,-0.093
K0III,-36.77828005,85543,262.2336964232,5.98,1.112
K0III+...,81.0912772098,101082,307.3648596064,5.96,0.942
F0spe...,13.9066477508,93179,284.6955170737,5.91,0.251
K0III,30.9609242701,36896,113.7866666263,5.34,1.01
A5III,45.7725410011,98383,299.8351027626,5.92,0.185
K1III,-52.7458069078,118234,359.7324137753,5.13,1.121
M1III SB,-61.4939009281,90098,275.8067550892,4.35,1.462
A3V,-1.1846637862,46776,142.9955337171,4.54,0.109
F0V,16.0332906854,21588,69.5393540652,5.78,0.312
K5/M0III,-64.5315037882,75665,231.8878477193,5.71,1.646
F5IV,13.0042989274,69989,214.8178345759,5.41,0.385
F0III/IV,-17.8471974944,95168,290.418161555,3.92,0.228
F5IV,25.6450355795,107354,326.1613933522,4.14,0.425
A3V,-58.8012080622,74824,229.3785392432,4.07,0.088
A1IV,21.4685006905,42806,130.8214419681,4.66,0.01
G5,21.5957824212,88267,270.3766985961,4.26,0.406
K1p,64.5890462236,81660,250.2296640234,4.84,1.212
B9.5V,-79.3613626249,27566,87.5699379248,5.46,-0.076
K2/K3III+..,-80.2140327473,20049,64.4969736098,5.67,0.836
B9.5V,0.71727078,72154,221.3758553748,5.68,-0.021
A4Vn,56.1155750559,27249,86.6266274165,5.93,0.164
B7V,0.9983141308,21515,69.3069723742,5.32,-0.107
A4V,28.61583166,72552,222.4933286426,5.8,0.046
A2V,-47.3751254157,16339,52.653975299,5.98,0.116
A0V,-21.1936693275,104365,317.1401024704,5.3,0
Ap (SiCr),-40.2638746818,42540,130.0798932413,5.2,-0.027
B2.5V,50.51252576,3300,10.5162313392,4.8,-0.105
G7III:,38.8113945785,84656,259.5969618626,5.97,1.011
K2III,47.4167255284,82611,253.3231538293,5.99,1.325
G9III,6.8035205186,17595,56.539011745,5.91,0.992
F0IV,70.8880798626,114831,348.9072419261,5.55,0.263
F9V,42.4515180342,77760,238.1689228559,4.6,0.563
A7V,-54.5004337151,86305,264.5229850202,5.25,0.195
F3V...,14.0352011475,20219,64.9904342473,5.58,0.283
F5IV-V,12.2721630638,29800,94.1109150779,5.04,0.431
B9V,50.4717328948,116709,354.784716913,5.35,-0.061
K0III,-30.4240912887,88635,271.4520287182,2.98,0.981
G5Ib,17.3500173915,107348,326.1278972767,4.34,1.161
M3Sv,14.2085034457,37521,115.5134106829,5.55,1.642
F0V,14.2842098558,57606,177.161285399,5.9,0.303
K2III,-67.7463658963,10513,33.8692693995,5.67,1.306
A7IV,48.041826469,44127,134.8018911615,3.12,0.223
A1Vn,8.9001758474,22509,72.6530072896,4.35,0.01
K0III,-13.3049949567,110179,334.7530834302,5.96,1.075
K1IV,45.6316460018,43923,134.2081372287,5.72,1.125
B9.5III,45.130809686,97165,296.2436576815,2.86,-0.002
K3III,-23.9624566222,95503,291.3735826453,5.45,1.442
M4III,-57.1132116887,61084,187.7914970884,1.59,1.6
B1V,-20.6691924671,78933,241.7017745636,3.93,-0.046
K5III,45.0143483267,109102,331.508134163,5.09,1.568
K0III,-19.6608614779,37364,115.0563708076,5.92,1.158
G8III,75.7569076153,40793,124.8845370991,5.55,0.902
A7IIIvar,38.3082526079,71075,218.0194662957,3.04,0.191
F4V,-45.078931628,28790,91.1670872833,5.93,0.493
A1V,37.8902446673,23179,74.8142067223,4.93,0.037
K2III,21.7697520587,90139,275.9245399793,3.85,1.168
B1.5IV,-40.6475179148,75141,230.3430071121,3.22,-0.227
B8IIIn,19.7734028158,96275,293.645401176,5,-0.093
K4.5III,34.098303669,64927,199.6155334553,5.81,1.366
B4V,-16.2489218251,39943,122.3688939852,5.66,-0.153
F7V,49.2284477306,12777,41.0499431304,4.1,0.514
G3/G5V,-40.5003539063,57443,176.6294666425,4.89,0.664
A1V,53.752101192,23040,74.3216523952,4.43,-0.017
A2/A3V,-34.9062865173,22573,72.8675677758,5.82,0.105
K0III:,-2.0486547101,43026,131.5103146288,5.7,1.097
B8V,24.8392600089,17527,56.2905793786,5.66,-0.064
A2Vm...,-39.2643944158,29808,94.1482821545,6,0.163
F5V,-0.9737947524,5833,18.7048833603,5.7,0.428
K0III,55.850459215,55797,171.4879563506,5.73,0.988
B2IV,-31.4562162249,36362,112.2704755734,5.78,-0.185
M2IIIs,8.784844589,51008,156.3133129922,5.61,1.63
F1Vp,-64.975138486,71908,220.6267474517,3.18,0.256
B2V,-35.113761411,41515,126.9975862183,5.75,-0.151
B6III,31.8124646179,115355,350.4788878745,5.35,-0.101
G0V,31.5291700001,55203,169.5454200001,3.79,0.606
G8III,-2.7615976619,117375,356.9855957997,5.49,0.941
B8V,42.3297247262,9640,30.9748044652,2.1,1.37
K0III,42.0027347598,43550,133.0417708002,5.98,1.251
F0Vn,77.2813409384,9727,31.2809226421,5.27,0.345
B1V...,55.7549283185,118243,359.7522472857,4.88,-0.071
F2IV,22.2600588655,71115,218.1355926479,5.91,0.391
G9III:,14.3056079643,27581,87.6204425668,5.54,1.006
B1Vvar,-6.0092699262,26197,83.7541952829,5.67,-0.228
K4III,-59.6360719146,109081,331.4625690172,5.62,1.468
G0IV,45.834010012,42604,130.2544616215,5.35,0.993
A2m,28.8423889181,117500,357.4141429465,5.95,0.187
A0V,1.950447551,95793,292.2541176297,5.79,0.088
M1III,-56.5249402776,60969,187.4758344641,5.78,1.572
G8/K0III,-44.1432035139,66427,204.2750435108,5.96,0.936
K1II-III,50.1046949036,98571,300.3398471173,5.06,1.122
K0IIICN...,-46.9339226008,48287,147.6747364012,5.72,1.085
A3m,26.4623538526,14109,45.475589047,5.91,0.141
F2III,-50.9868156468,3949,12.6716101003,5.24,0.356
F7V,-12.230121106,51933,159.1349288843,5.71,0.528
B9II,-50.630370291,85409,261.8019312385,5.9,0.063
B5IV,-79.7832881141,52340,160.4646605746,5.97,-0.071
K5III,-3.9017788032,34975,108.5452117075,5.8,1.585
K3III,22.6320952924,83254,255.24223125,5.69,1.332
B7IV,38.2661879471,93104,284.5079081276,5.89,-0.09
G9III,67.6615412892,94376,288.1387500642,3.07,0.99
M6.2III,-11.8490887785,24169,77.8452970051,5.6,1.35
B7/B8V,-39.6804306976,62786,192.9872066093,5.99,-0.098
O9Ib,-24.9543753797,35415,109.6770279509,4.37,-0.132
B8V,-22.2159012204,60189,185.1401731702,5.2,-0.09
A6V,12.5108380146,21589,69.5394269844,4.27,0.122
B5V,9.9980166765,18805,60.4422346763,5.67,0.005
K4III,76.9774077827,33694,105.0168225486,4.55,1.365
M5III,-34.4507758673,67457,207.3613380254,4.19,1.52
M3III,62.697985878,108505,329.7230135171,5.96,1.64
B2/B3II/III,-32.202067521,35855,110.8828972816,5.41,-0.169
F3IV,-4.6476399134,96556,294.4471571838,5.45,0.429
F9IV,67.346722467,74605,228.6597456339,5.15,0.55
F4III-IV,-76.1805918325,102162,310.5124465196,5.99,0.45
A7III,62.9941048691,101093,307.3953547005,4.21,0.199
G8/K0III+..,-18.6599036581,31564,99.0952099969,5.71,0.848
A2V,-42.6150748485,116389,353.7690167299,4.69,0.078
B5V,13.8156816454,96840,295.27303453,5.98,-0.078
A3IV,-48.7436867423,74380,227.990325254,5.7,0.144
A1Vs,0.5529794476,28296,89.7065495159,5.21,0.009
A2V,-42.1219416701,50191,153.6839802234,3.85,0.051
K4III,2.4456696769,5510,17.6398010492,5.97,1.491
K0III,-67.6203790327,56727,174.4515763858,5.94,1.013
B9Vn,-78.2218389407,58484,179.9065560224,4.88,-0.054
A0IV,22.6292589537,61394,188.712839627,4.8,0.012
K0III-IV,45.6014831028,46471,142.1666221565,5.4,0.993
G8III-IV,46.4581518267,116584,354.3910104679,3.81,0.984
M3Sv,14.2506418529,22667,73.1331755698,4.71,1.773
K2III,-23.6060120125,13835,44.5238906246,5.82,1.334
B5Vn,50.4617914411,103530,314.6251440371,5.59,-0.144
B6III,2.9300301583,95732,292.0866595237,5.84,-0.003
K5III,-26.0223453476,1096,3.4260201618,5.94,1.548
A3m,20.5785909723,19990,64.3152528266,4.93,0.259
G6III,-5.3871640999,110023,334.2770820964,5.75,0.878
K4/K5III,-20.7491275119,46511,142.3026759026,5.66,1.587
A3m,14.0771984959,20400,65.5146592723,5.72,0.315
M2III,13.4804531876,37508,115.4660291258,5.79,1.669
K2.5III,-63.6104655714,74837,229.412044143,4.85,1.26
A3IVv SB,24.83920414,84379,258.7579607302,3.12,0.08
F5III+...,27.7102862581,3885,12.4715241594,5.55,0.398
F4IV,1.7855861011,47960,146.5983794483,5.65,0.342
G8/K0III,-37.7017194851,98461,300.0663874162,5.95,0.989
K4III,-0.2967201108,17506,56.2354077778,5.56,1.411
B8V,-34.6824537057,77286,236.6842354678,5.61,-0.117
K0III:,7.7300260579,12148,39.1461275246,5.81,1.04
K5III,-57.0343768221,46701,142.8054951911,3.16,1.538
B9IV,-50.6411847287,83057,254.5747480872,5.53,0.016
G8II-III,-9.0824284404,107382,326.25106066,5.1,1.108
B5V SB,41.0789108684,3881,12.453530359,4.53,-0.136
K3III,-10.2737018021,69427,213.2239407401,4.18,1.323
B2III,-18.5195916463,109332,332.2457947558,5.8,-0.154
A3Ib/II,-20.5543418796,39734,121.8251653575,5.33,0.1
K3III SB,36.4250943944,79358,242.950227316,5.62,1.352
F:+...,-41.4911550168,74707,229.0167647888,5.15,0.564
F8V,32.6902097748,8433,27.1731799726,5.78,0.572
F2III,-64.6137301014,59072,181.7204144986,4.14,0.353
K4III,-54.3252722925,95690,291.9504875539,5.7,1.406
K3IIIvar,26.1106452847,85693,262.684624828,4.41,1.434
K0V SB,2.5000994814,88601,271.3636898584,4.03,0.86
B1Ia,62.9317827058,2599,8.2499652217,4.17,0.13
M3III,-80.8591336803,85760,262.8644366695,5.83,1.617
K3III,-21.1962102573,105928,321.8117468955,5.78,1.44
G5III,33.6810386962,33421,104.2521644082,5.91,0.878
G8/K0III+..,-44.5577190756,84033,257.6763468011,5.06,0.867
A1Vn,47.1565247115,44471,135.9063613663,3.57,0.007
B9III,32.3848816583,115591,351.2118012992,5.56,-0.075
F4III,13.1198234502,108693,330.2722897523,5.61,0.336
Fm delta Del,-61.5299184205,101773,309.3971338389,4.86,0.447
A2V,44.9474327809,28360,89.8821788882,1.9,0.077
G0V,20.2761745489,27913,88.5957602571,4.39,0.594
F2V:var,19.1723456544,6706,21.563591886,5.35,0.395
K0III,-41.4143467807,112203,340.8749027252,4.84,1.027
M3III,22.6354896821,39659,121.5766451238,5.96,1.652
K0,5.4972235257,67545,207.6028287634,6,0.899
G2,-24.9122076065,38146,117.2569761607,5.32,0.751
M0III,-33.2889498993,38200,117.3975099961,5.61,1.617
A2V,11.377675956,101800,309.4546661559,5.42,0.05
K3/K4III,-48.9433147199,62867,193.2787760587,4.33,1.344
K0III,-17.9228942423,103226,313.6992344197,5.78,1.122
A7III,36.2948981637,66458,204.3651179568,4.82,0.239
B9p EuCr,54.4326793682,67231,206.6485670115,5.68,-0.039
K4III,5.0585304779,109068,331.41979781,4.86,1.443
F0IV,67.2016053271,17585,56.5039135123,5.79,0.347
A4Vn,10.9473198387,117730,358.1546024873,5.3,0.186
F8III-IV,1.7654076792,74975,229.8283238714,5.04,0.54
M6IIIvar,18.3316398304,13654,43.9520742112,5.76,1.452
B4IIIp,21.1425491428,26451,84.4111906983,2.97,-0.148
A2m,22.6483169289,9836,31.6413561858,5.03,0.121
B9sp...,36.3178962557,95556,291.5380289398,5.17,-0.12
G8II-III,15.0836514907,94624,288.833709718,5.58,1.067
A2Ia,55.8456534776,11060,35.5893105485,5.16,0.369
B8V,60.3628360962,4440,14.1957219769,5.56,-0.054
K3III,32.1455142079,93279,285.0034401669,4.94,1.465
G8III,17.8183972661,78481,240.3096572013,5.1,0.992
F3V,42.9816350138,28823,91.264102429,5.9,0.358
M0III,-39.5433532626,109111,331.5286890304,4.47,1.349
K3III,61.9954198157,98962,301.3869956965,5.4,1.191
A0p:,-56.7497243729,34105,106.0763777677,5.14,-0.032
A3Vn,77.7944929335,77055,236.0146638529,4.29,0.038
B8V,-37.9429172416,37752,116.1424285567,5.89,-0.115
B1.5Ia comp,32.2185976422,98863,301.1507282658,5.62,0.76
K0III,50.0520906002,113919,346.0457633322,4.64,1.058
B8Ia,-8.2016405511,24436,78.6344681221,0.18,-0.03
A3V,-41.4869160801,5300,16.9493888157,5.21,0.159
B5V,-33.80136075,27810,88.2786715792,4.88,-0.154
K3III,30.3714371711,71053,217.9574580237,3.57,1.298
K1III,-40.9337457933,37664,115.9247041549,5.12,1.104
B1V...,-6.0647516293,26345,84.14872314,5.71,-0.212
A5Vn,15.9179767312,21683,69.8187576436,4.67,0.147
B1Ib/II,-16.2345090297,34561,107.3890202597,6,0.04
K0III,-51.0184811679,36114,111.5910441195,5.09,1.038
F6Vs,41.055633583,48833,149.4210585043,5.11,0.481
A0III,-22.9647930272,31416,98.7641176274,4.54,-0.035
G6/G8III,-20.8687642041,78990,241.8513642003,4.31,0.831
M3III,57.12807021,47965,146.6319345074,5.09,1.594
B3V,-42.1530715978,41323,126.4662921426,5.45,-0.142
K0V,69.6611753959,96100,293.0899617252,4.67,0.786
K2II-III,86.2570904138,5372,17.1869886475,4.24,1.213
G8II:,8.8467173,10324,33.2499812489,4.36,0.878
B6V,17.4643089696,13165,42.3231663802,5.26,-0.066
A1V,-21.5140324537,102487,311.541618385,5.91,0.066
K2III,70.0217698743,61384,188.6833889676,4.95,1.312
A5V,-53.4494274781,105319,319.9666207411,4.39,0.191
G8III,17.5425142026,20455,65.7337218861,3.77,0.983
A0V,8.4466171338,70327,215.8445652813,4.86,0.01
M3IIIvar,-5.0277008356,102624,311.9343165682,4.43,1.639
B8/B9V,-43.8071105113,53762,164.9974091765,5.81,-0.064
B9IV-V,26.924473105,26396,84.2868558164,5.83,-0.075
A0Vn,21.465442482,5132,16.4237992294,5.55,-0.048
B+...,-47.8791978002,73111,224.1335569882,5.62,-0.035
K3III,-18.8303752641,112211,340.8968050048,4.68,1.358
B0.5IV,-11.2940139861,34301,106.6698613951,5.41,0.033
A2V,-3.7454703254,20507,65.9202181085,5.17,0.072
F5/F6V,-18.5725625875,12843,41.2757712945,4.47,0.481
Amvar,-60.177647221,77990,238.8848566503,5.78,0.355
B7II/III,-56.9209641511,85751,262.8470137047,5.99,-0.045
K2III,-17.3738863453,89609,274.2984505068,5.81,1.569
K0III-IV,21.0585697311,9307,29.8986800037,5.89,1.031
G8III-IV,56.6247370667,111362,338.4193747324,5.72,0.966
B0V,59.9866105286,104642,317.9509878585,5.64,0.11
B5V,26.2914112119,93393,285.3223195139,5.69,-0.086
M1/M2III,-25.0921983483,83176,254.9904400527,5.88,1.607
K5,67.2722303703,47401,144.8661445942,5.96,1.528
F2III,38.3186436423,13254,42.6460820425,4.22,0.343
F0IV...,21.9823205489,35550,110.0307398328,3.5,0.374
F3IV-V,-52.373090065,2711,8.6159695141,5.57,0.472
Am,64.6279712693,108917,330.9477243057,4.26,0.379
M0III,69.283343903,76519,234.4130349605,5.65,1.371
G5II,57.9776314147,7617,24.5315290997,5.55,1.388
A1V,-18.5831778476,101123,307.4746148522,5.94,0.062
G8III+...,-35.2588403287,31072,97.804564638,5.82,0.813
A0IVs,-10.6779500164,111123,337.6617336074,4.82,-0.053
K1III,-64.7125367146,107773,327.5005227959,5.62,1.018
F4V,19.0420133067,20614,66.2380334251,5.97,0.378
M4III,22.179435743,106062,322.2490752774,5.84,1.37
G8Ib/II,-58.0103271194,85049,260.7300914132,5.86,1.075
F7V,41.2295299643,50786,155.5440087148,5.73,0.531
K2III,30.2451630111,34693,107.7848778303,4.41,1.261
F5V,21.2109930718,10306,33.200356339,5.23,0.457
B3II,-15.6030358783,92814,283.6796410339,5.08,0.141
F4II-III,14.9461334815,5081,16.2723152287,5.64,0.42
K0III,-9.5511308861,37447,115.3118017588,3.94,1.022
K0,-4.7114613093,113686,345.3821258539,5.94,0.992
G8III,29.6542355296,44818,137.0002106533,5.42,0.888
B9p Si,-6.7389076494,21278,68.4780340842,5.71,-0.128
M3III,61.5152864496,29919,94.4784176044,5.01,1.843
A0Ib,7.3329651128,31216,98.2259470472,4.47,0.023
G9IV,69.8538810139,53257,163.3779443841,5.91,1.01
G8IIICN...,1.4077654514,55650,171.0096963767,5.39,0.938
A3V,-3.8119258212,63414,194.9146552575,5.79,0.203
G2Ib...,-30.9622810883,36514,112.6775087436,4.65,0.904
B3V,-40.8396751129,81972,251.1774718895,5.64,-0.093
A2Iab,-28.9548257694,37677,115.9519544656,3.94,0.16
M3III,26.5278502283,71995,220.8556801269,4.8,1.672
B8V,-27.2878533925,54255,166.4898749404,5.69,-0.067
B9IV,-12.759079589,100310,305.1659006008,4.77,-0.047
A0Vn,-54.423930629,95261,290.7133592755,5.03,0.02
A0V,-48.2991445158,93862,286.7316935313,5.95,-0.017
G3III,-3.0074007779,89587,274.2212559481,5.99,0.89
K0III,-77.390046406,107089,325.369359786,3.73,1.008
A3Ia,-59.5156476915,56250,172.9533325764,5.12,0.432
G8III-IV,59.1810556422,4422,14.1662713014,4.62,0.957
F2IV,-40.4667693825,46651,142.6750005457,3.6,0.371
F8V,42.0814749118,5493,17.5780850689,5.67,0.603
M0III,-42.9157322222,63066,193.8309643583,5.46,1.668
B9Vn,32.9336946689,75178,230.4523965817,5.38,-0.051
B7V,22.9963366051,20789,66.8226978359,5.53,-0.098
K6III,53.1913307611,59920,184.3733322833,5.8,1.33
K1III,-21.1724095951,114341,347.3616547279,3.68,1.202
K3V,-27.0329767681,99825,303.8224619431,5.73,0.878
G8III:,-8.8241121079,671,2.0730522215,5.99,1.034
B2II,-55.0555328061,77645,237.7783529519,5.74,0.017
F3III,-70.4316220458,110668,336.2941827844,5.78,0.396
A4IV,-49.5839197426,34059,105.9733651901,4.92,0.14
F4V,-6.9146560855,6564,21.0854297717,5.92,0.407
A0III,-0.3716367315,49641,151.984501281,4.48,-0.032
G8III,9.5223427619,27280,86.7172282263,5.78,0.888
B3Ia,46.1141344419,102724,312.234545592,4.81,0.571
B8V,24.55451103,17579,56.4769847278,5.76,-0.036
A1V,-11.3659544926,107517,326.6337427178,5.57,-0.002
B2V,-25.2310342393,34579,107.4292675067,5.69,-0.158
B9.5IVMNpe.,-37.8182676094,116231,353.2427471737,4.38,-0.095
G8III,41.6027225497,92831,283.7174047569,5.46,1.034
K3III,-87.6058435281,92824,283.6964002466,5.29,1.304
B8.5V,10.8313644224,112029,340.3655032978,3.41,-0.086
K4III,-5.7332991232,8230,26.4969185352,5.37,1.517
K1III,-40.346055813,50103,153.4413484153,5.91,1.204
K0III:,33.4973285458,116355,353.6591810275,5.63,1.042
A7V,-42.6765584903,3521,11.2377210263,5.94,0.297
B1Ib SB,9.3065855843,51624,158.2027993312,3.84,-0.148
K5III,53.4204284394,84950,260.439035276,5.69,1.463
A3Ia comp,62.2145164357,117447,357.2090474109,5.43,0.67
K5III,-5.1173937236,46221,141.3501477775,5.6,1.523
K4III,-3.4667292044,79195,242.4604923423,5.39,1.446
K3III,-45.4660332589,94712,289.0905927748,5.38,1.349
K0IIICN...,33.2475836376,61309,188.4121641724,5.42,1.011
F7V,4.3937662047,110785,336.6557729054,5.76,0.519
A2V,1.9839231294,80883,247.7284287977,3.82,0.022
K3III,-8.9843851374,64122,197.1352776364,5.57,1.178
F8Ib,17.3609120731,93124,284.5614473737,5.33,0.731
B6IIIp,69.7882376765,61281,188.3706013905,3.85,-0.116
K3III,16.3069477665,70027,214.938479925,4.84,1.228
G8IV-V,61.4812329726,31676,99.4224409774,5.94,0.899
A3m + A3m,32.4548980066,31173,98.1132688095,5.82,0.188
B9V,-76.081959253,76877,235.4778483503,5.95,-0.034
B2Ve,-8.5035705799,22024,71.0221693816,5.78,-0.076
A1III/IV,-23.1537448897,41242,126.2299151699,5.67,0.066
B7IV,-34.0741078649,26634,84.9122494566,2.65,-0.12
F2IV/V,-14.8461750731,38427,118.0786611429,5.69,0.368
F3III-IV,-0.0199719671,110960,337.2079673239,3.65,0.406
M2III,8.0442231204,49029,150.0533608914,4.68,1.589
B8/B9V,-29.743225245,95619,291.7353418086,5.66,-0.014
K5III,-33.2594922576,82960,254.2965673866,5.48,1.606
B3IV,-51.8112606304,49712,152.2343329227,4.85,-0.12
A8V,-38.0098393752,50888,155.8720673059,5.34,0.251
A1V,-18.3992276596,39095,119.9668778167,4.61,0.087
B7IV,-15.0532513868,95557,291.54600857,5.71,0.007
G5Ib,-70.2257905639,57696,177.4858914174,4.98,1.36
F3/F5V,-34.7054424204,38423,118.0652602422,5.01,0.47
