key_hip,DEC,HIP,RA,Stellar_parallax,color_index,mag
27971_hip,59.88836722,27971,88.74094771,0.01,A2V,5.2
17534_hip,-47.35947619,17534,56.31615242,0.961,K1III,5.72
111944_hip,44.27630499,111944,340.1285795,1.318,K3III,4.5
50888_hip,-38.00983938,50888,155.8720673,0.251,A8V,5.34
80079_hip,-24.16932002,80079,245.1590863,0.758,A4II/III,4.55
18217_hip,57.9751413,18217,58.43035872,0.182,A5m,5.8
76877_hip,-76.08195925,76877,235.4778484,-0.034,B9V,5.95
35550_hip,21.98232055,35550,110.0307398,0.374,F0IV...,3.5
7955_hip,-32.32697025,7955,25.53580826,1.044,K1II/III,5.25
90842_hip,-43.50738268,90842,277.9842626,1.322,K2III,5.71
20493_hip,20.98204451,20493,65.88486187,0.029,B8IV-V,6
5310_hip,20.73911258,5310,16.98818032,0.121,A3V,5.56
103371_hip,44.92472189,103371,314.1449078,0.02,O6...,5.96
22479_hip,-16.21715883,22479,72.54840181,0.992,K0III,5.03
29151_hip,2.499692309,29151,92.24126418,0.067,A3Vn,5.7
58001_hip,53.69476008,58001,178.4576977,0.044,A0V SB,2.41
76276_hip,10.53886686,76276,233.700613,0.268,F0IV,3.8
57581_hip,-66.81491035,57581,177.0605626,1.522,K4III,4.75
1630_hip,30.93561358,1630,5.10167651,-0.098,B7V,5.89
104365_hip,-21.19366933,104365,317.1401025,0,A0V,5.3
105138_hip,34.89689785,105138,319.479485,-0.103,B2Vne,4.41
101923_hip,-14.95476011,101923,309.817991,-0.129,B7III,5.24
80337_hip,-39.19298028,80337,246.0053743,0.625,G3/G5V,5.37
56779_hip,8.134298514,56779,174.6150318,1.499,M4III,5.24
7345_hip,-15.67635919,7345,23.65741154,0.066,A1V,5.62
78662_hip,-57.77506392,78662,240.8837151,0.252,A7IV,4.63
115590_hip,62.28280657,115590,351.2094266,1.676,M1III,4.96
94643_hip,-25.25668251,94643,288.885116,0.569,K0/K1III+..,4.86
92822_hip,48.85940109,92822,283.6963559,0.452,F3III,5.84
73945_hip,-16.25681782,73945,226.6566509,1.589,K5III,5.19
107649_hip,-47.30361491,107649,327.0656309,0.601,G2V,5.57
78665_hip,-32.00053847,78665,240.8931619,0.47,F5IV/V,6
112997_hip,16.841194,112997,343.2594414,1.132,K1III SB,5.86
64407_hip,-16.19860153,64407,198.0147626,0.46,F6V,5.04
99825_hip,-27.03297677,99825,303.8224619,0.878,K3V,5.73
56754_hip,-61.82656332,56754,174.5303969,-0.04,B9IV,5.15
78747_hip,-37.86295066,78747,241.1534008,0.409,F3V,5.91
60746_hip,26.82569917,60746,186.7470688,0.088,A4V,4.98
50609_hip,-47.69909032,50609,155.0696466,1.667,K5/M0III,5.66
34105_hip,-56.74972437,34105,106.0763778,-0.032,A0p:,5.14
110873_hip,31.84004456,110873,336.94273,1.442,K2,6
47205_hip,6.835801999,47205,144.3027801,1.051,K1IIIvar,5
80480_hip,78.96385386,80480,246.4299329,0.249,F0V,5.55
40035_hip,-13.79920726,40035,122.6659419,0.488,F7V,5.53
92161_hip,18.18151894,92161,281.7553074,0.148,A5III,4.34
24505_hip,-26.94350871,24505,78.85155213,-0.067,B9V,5.06
21823_hip,48.30088121,21823,70.35053554,0.002,A0V,5.66
84626_hip,-24.28690158,84626,259.5028278,1.046,K:...,5.14
44901_hip,51.60464833,44901,137.2177343,0.288,Am,4.46
55560_hip,43.48270299,55560,170.7066006,0.998,G8II,4.99
78868_hip,-72.40089807,78868,241.4825736,1.169,K1IIICNII,5.7
2548_hip,6.955463214,2548,8.099091494,-0.014,B9.5V,5.69
3504_hip,48.2843641,3504,11.1813238,-0.069,B5III,4.48
20171_hip,21.14230672,20171,64.8587391,-0.069,B9IV,5.5
99968_hip,40.36507501,99968,304.2303564,1.65,K5II,5.27
104732_hip,30.22691571,104732,318.2341091,0.99,G8II SB,3.21
